id,doi,title,year,venue,publisher,publisher_url,source_url,document_type,relevance_score,relevance_terms_json,relevance_reason,doi_url,is_oa,pdf_url,access_status
27,10.3390/mi17050553,A Bimodal Approach to Broadband Vibration Energy Harvesting Using Hybrid Piezoelectric-Electromagnetic Transduction.,2026,Micromachines (Basel),,10.3390/mi17050553,42195470,research-article; journal article,0.2,[],No configured permanent magnet term was found; needs manual review.,https://doi.org/10.3390/mi17050553,1,,oa_no_pdf_url
16,10.26434/chemrxiv.15000566/v1,"A Predictive 4D Electrostatic Framework for Rare-Earth-Free Permanent Magnet Screening Curie Temperature, Magnetic Hardness, and Coercivity from a Classical Phase-Locking Model",2026,,American Chemical Society (ACS),https://doi.org/10.26434/chemrxiv.15000566/v1,https://doi.org/10.26434/chemrxiv.15000566/v1,posted-content,0.35,"[""permanent magnet"", ""coercivity""]",Excluded or down-weighted by terms: mri,https://doi.org/10.26434/chemrxiv.15000566/v1,,https://chemrxiv.org/doi/pdf/10.26434/chemrxiv.15000566/v1,closed_access_has_doi
28,10.1016/j.jmr.2026.108080,A scalable design framework for single-sided permanent magnet arrays (PMAs).,2026,J Magn Reson,,10.1016/j.jmr.2026.108080,42102649,journal article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1016/j.jmr.2026.108080,0,,closed_access_has_doi
26,10.1038/s41598-026-50884-6,Analysis of static and dynamic eccentricity faults in SSDR coreless axial flux permanent magnet machines.,2026,Sci Rep,,10.1038/s41598-026-50884-6,42067554,journal article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1038/s41598-026-50884-6,0,,closed_access_has_doi
58,10.1038/s41598-026-38380-3,Effects of applied magnetic fields on the performance of magnetoplasmadynamic thrusters.,2026,Sci Rep,,10.1038/s41598-026-38380-3,41651918,research-article; journal article,0.2,[],No configured permanent magnet term was found; needs manual review.,https://doi.org/10.1038/s41598-026-38380-3,1,,oa_no_pdf_url
34,10.3390/nano16080460,Micromagnetic Investigation on Microstructure Modulation and Magnetic Properties of Nd-Fe-B Permanent Magnets.,2026,Nanomaterials (Basel),,10.3390/nano16080460,42042712,research-article; journal article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.3390/nano16080460,1,,oa_no_pdf_url
35,10.1002/adma.202518751,The Possibility of New Complex Magnet Materials.,2026,Adv Mater,,10.1002/adma.202518751,41882979,review-article; review; journal article,0.2,[],No configured permanent magnet term was found; needs manual review.,https://doi.org/10.1002/adma.202518751,1,,oa_no_pdf_url
33,10.1039/d6mh00126b,Tm-Substituted 2:17-type magnets: balancing room-temperature magnetic properties and temperature stability.,2026,Mater Horiz,,10.1039/d6mh00126b,42008006,journal article,0.2,[],No configured permanent magnet term was found; needs manual review.,https://doi.org/10.1039/d6mh00126b,0,,closed_access_has_doi
17,10.3390/en18215785,A Novel Hill Climb Search-Based Magnetization Control for Low Coercivity Electro-Permanent Magnet Systems,2025,Energies,MDPI AG,https://doi.org/10.3390/en18215785,https://doi.org/10.3390/en18215785,journal-article,0.8500000000000001,"[""permanent magnet"", ""ndfeb"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, ndfeb, coercivity",https://doi.org/10.3390/en18215785,,https://www.mdpi.com/1996-1073/18/21/5785/pdf,closed_access_has_doi
9,10.1049/pbce138e_ch6,Fault tolerance in permanent magnet actuator systems,2025,Control of Permanent Magnet Actuators for Robotics Applications,The Institution of Engineering and Technology,https://doi.org/10.1049/pbce138e_ch6,https://doi.org/10.1049/pbce138e_ch6,book-chapter,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1049/pbce138e_ch6,,,closed_access_has_doi
