id,title,year,venue,doi,doi_url,publisher_url,source_url,pdf_url,access_status,download_error
16,"A Predictive 4D Electrostatic Framework for Rare-Earth-Free Permanent Magnet Screening Curie Temperature, Magnetic Hardness, and Coercivity from a Classical Phase-Locking Model",2026,,10.26434/chemrxiv.15000566/v1,https://doi.org/10.26434/chemrxiv.15000566/v1,https://doi.org/10.26434/chemrxiv.15000566/v1,https://doi.org/10.26434/chemrxiv.15000566/v1,https://chemrxiv.org/doi/pdf/10.26434/chemrxiv.15000566/v1,closed_access_has_doi,
28,A scalable design framework for single-sided permanent magnet arrays (PMAs).,2026,J Magn Reson,10.1016/j.jmr.2026.108080,https://doi.org/10.1016/j.jmr.2026.108080,10.1016/j.jmr.2026.108080,42102649,,closed_access_has_doi,
26,Analysis of static and dynamic eccentricity faults in SSDR coreless axial flux permanent magnet machines.,2026,Sci Rep,10.1038/s41598-026-50884-6,https://doi.org/10.1038/s41598-026-50884-6,10.1038/s41598-026-50884-6,42067554,,closed_access_has_doi,
33,Tm-Substituted 2:17-type magnets: balancing room-temperature magnetic properties and temperature stability.,2026,Mater Horiz,10.1039/d6mh00126b,https://doi.org/10.1039/d6mh00126b,10.1039/d6mh00126b,42008006,,closed_access_has_doi,
17,A Novel Hill Climb Search-Based Magnetization Control for Low Coercivity Electro-Permanent Magnet Systems,2025,Energies,10.3390/en18215785,https://doi.org/10.3390/en18215785,https://doi.org/10.3390/en18215785,https://doi.org/10.3390/en18215785,https://www.mdpi.com/1996-1073/18/21/5785/pdf,closed_access_has_doi,
9,Fault tolerance in permanent magnet actuator systems,2025,Control of Permanent Magnet Actuators for Robotics Applications,10.1049/pbce138e_ch6,https://doi.org/10.1049/pbce138e_ch6,https://doi.org/10.1049/pbce138e_ch6,https://doi.org/10.1049/pbce138e_ch6,,closed_access_has_doi,
7,Introduction to permanent magnet robot actuators,2025,Control of Permanent Magnet Actuators for Robotics Applications,10.1049/pbce138e_ch1,https://doi.org/10.1049/pbce138e_ch1,https://doi.org/10.1049/pbce138e_ch1,https://doi.org/10.1049/pbce138e_ch1,,closed_access_has_doi,
10,Non-position control approaches for permanent magnet actuators,2025,Control of Permanent Magnet Actuators for Robotics Applications,10.1049/pbce138e_ch4,https://doi.org/10.1049/pbce138e_ch4,https://doi.org/10.1049/pbce138e_ch4,https://doi.org/10.1049/pbce138e_ch4,,closed_access_has_doi,
50,Optimization of Wind Permanent Magnet Generator for Maximum Wind Energy Extraction Based on Genetic Algorithm,2025,2025 29th International Electrical Power Distribution Conference (EPDC),10.1109/epdc67173.2025.11278373,https://doi.org/10.1109/epdc67173.2025.11278373,https://doi.org/10.1109/epdc67173.2025.11278373,https://doi.org/10.1109/epdc67173.2025.11278373,http://xplorestaging.ieee.org/ielx8/11278241/11278244/11278373.pdf?arnumber=11278373,closed_access_has_doi,
8,Parameter Estimation of Permanent Magnet Synchronous Machines,2025,Parameter Estimation of Permanent Magnet Synchronous Machines,10.1002/9781394280452.fmatter,https://doi.org/10.1002/9781394280452.fmatter,https://doi.org/10.1002/9781394280452.fmatter,https://doi.org/10.1002/9781394280452.fmatter,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781394280452.fmatter,closed_access_has_doi,
38,2:17‐type SmCo permanent magnets with controllable remanence temperature coefficients via substitution of heavy rare earth elements,2024,Rare Metals,10.1007/s12598-024-02778-7,https://doi.org/10.1007/s12598-024-02778-7,https://doi.org/10.1007/s12598-024-02778-7,https://openalex.org/W4399296436,,closed_access_has_doi,
41,Compact remanence-free permanent magnet-based variable magnetic field source,2024,Review of Scientific Instruments,10.1063/5.0177441,https://doi.org/10.1063/5.0177441,https://doi.org/10.1063/5.0177441,https://doi.org/10.1063/5.0177441,https://pubs.aip.org/aip/rsi/article-pdf/doi/10.1063/5.0177441/19704929/035101_1_5.0177441.pdf,closed_access_has_doi,
40,Dynamic parameters of the ignition coil at various permanent  magnet remanence values,2024,PRZEGLĄD ELEKTROTECHNICZNY,10.15199/48.2024.01.43,https://doi.org/10.15199/48.2024.01.43,https://doi.org/10.15199/48.2024.01.43,https://doi.org/10.15199/48.2024.01.43,,closed_access_has_doi,
18,Understanding High Coercivity in Thmn12-Type Sm–Zr–Fe–Co–Ti Permanent Magnet Powders Through Nanoscale Analysis,2024,,10.2139/ssrn.4999662,https://doi.org/10.2139/ssrn.4999662,https://doi.org/10.2139/ssrn.4999662,https://doi.org/10.2139/ssrn.4999662,,closed_access_has_doi,
6,Permanent Magnet E-beam/X-ray Horn,2023,Permanent Magnet E-beam/X-ray Horn,10.2172/2007025,https://doi.org/10.2172/2007025,https://doi.org/10.2172/2007025,https://doi.org/10.2172/2007025,,closed_access_has_doi,
39,Study on Effect of Permanent Magnet Remanence on High Speed Permanent Magnet Assisted Synchronous Reluctance Machines,2023,2023 IEEE 6th International Electrical and Energy Conference (CIEEC),10.1109/cieec58067.2023.10166518,https://doi.org/10.1109/cieec58067.2023.10166518,https://doi.org/10.1109/cieec58067.2023.10166518,https://doi.org/10.1109/cieec58067.2023.10166518,http://xplorestaging.ieee.org/ielx7/10165685/10164836/10166518.pdf?arnumber=10166518,closed_access_has_doi,
19,Determination of the torque transmitted by a magnetic coupling with high-coercivity permanent magnets made from an alloy of rare earth elements with a magnet width less than its thickness,2022,Vestnik Mashinostroeniya,10.36652/0042-4633-2022-10-19-24,https://doi.org/10.36652/0042-4633-2022-10-19-24,https://doi.org/10.36652/0042-4633-2022-10-19-24,https://doi.org/10.36652/0042-4633-2022-10-19-24,,closed_access_has_doi,
4,Finite-Control-Set Model Predictive Control of Permanent Magnet Synchronous Motor Drive Systems—An Overview,2022,IEEE/CAA Journal of Automatica Sinica,10.1109/jas.2022.105851,https://doi.org/10.1109/jas.2022.105851,https://doi.org/10.1109/jas.2022.105851,https://openalex.org/W4294811285,,closed_access_has_doi,
49,Maximum Power Point Tracking for Permanent Magnet Synchronous Generator based Wind Park Application,2022,International Journal of Renewable Energy Research,10.20508/ijrer.v12i2.12872.g8469,https://doi.org/10.20508/ijrer.v12i2.12872.g8469,https://doi.org/10.20508/ijrer.v12i2.12872.g8469,https://doi.org/10.20508/ijrer.v12i2.12872.g8469,,closed_access_has_doi,
14,"Microstructure, coercivity and thermal stability of nanostructured (Nd,Ce)-(Fe,Co)-B hot-compacted permanent magnets",2022,Acta Materialia,10.1016/j.actamat.2022.118062,https://doi.org/10.1016/j.actamat.2022.118062,https://doi.org/10.1016/j.actamat.2022.118062,https://openalex.org/W4281661688,,closed_access_has_doi,
13,Ce–Dy substituted barium hexaferrite nanoparticles with large coercivity for permanent magnet and microwave absorber application,2021,Journal of Physics D Applied Physics,10.1088/1361-6463/abf864,https://doi.org/10.1088/1361-6463/abf864,https://doi.org/10.1088/1361-6463/abf864,https://openalex.org/W3156216069,,closed_access_has_doi,
48,Manganese-based permanent magnet materials,2021,Progress in Materials Science,10.1016/j.pmatsci.2021.100872,https://doi.org/10.1016/j.pmatsci.2021.100872,https://doi.org/10.1016/j.pmatsci.2021.100872,https://openalex.org/W3203700131,,closed_access_has_doi,
47,Microstructure and magnetic properties of Nd-Fe-B permanent magnets produced by laser powder bed fusion,2021,Scripta Materialia,10.1016/j.scriptamat.2021.113921,https://doi.org/10.1016/j.scriptamat.2021.113921,https://doi.org/10.1016/j.scriptamat.2021.113921,https://openalex.org/W3159802637,,closed_access_has_doi,
51,Research on Maximum Power Tracking Control Method of Permanent Magnet Synchronous Wind Power Generation in Microgrid,2021,2021 IEEE 4th International Electrical and Energy Conference (CIEEC),10.1109/cieec50170.2021.9511058,https://doi.org/10.1109/cieec50170.2021.9511058,https://doi.org/10.1109/cieec50170.2021.9511058,https://doi.org/10.1109/cieec50170.2021.9511058,http://xplorestaging.ieee.org/ielx7/9510195/9510196/09511058.pdf?arnumber=9511058,closed_access_has_doi,
