id,title,year,venue,doi,doi_url,publisher_url,source_url,pdf_url,access_status,download_error
56,Coercivity of (Fe<sub>0.7</sub>Co<sub>0.3</sub>)<sub>2</sub>B Nanowire and Its Bonded Magnet,2024,Crystals,10.3390/cryst14070624,https://doi.org/10.3390/cryst14070624,https://www.mdpi.com/2073-4352/14/7/624,https://www.mdpi.com/2073-4352/14/7/624,https://www.mdpi.com/2073-4352/14/7/624/pdf,download_failed,PDF HTTP 403: Forbidden
37,Relationship between Remanence and Micromorphology of Nd-Fe-B Permanent Magnets Revealed by Fractal Theory and EBSD Data,2023,Fractal and Fractional,10.3390/fractalfract7050393,https://doi.org/10.3390/fractalfract7050393,https://doi.org/10.3390/fractalfract7050393,https://openalex.org/W4382299762,https://www.mdpi.com/2504-3110/7/5/393/pdf?version=1683629447,download_failed,PDF HTTP 403: Forbidden
15,Experimental approaches for micromagnetic coercivity analysis of advanced permanent magnet materials,2021,Science and Technology of Advanced Materials,10.1080/14686996.2021.1874836,https://doi.org/10.1080/14686996.2021.1874836,https://doi.org/10.1080/14686996.2021.1874836,https://openalex.org/W3131002947,https://www.tandfonline.com/doi/pdf/10.1080/14686996.2021.1874836?needAccess=true,download_failed,PDF HTTP 403: Forbidden
11,Most frequently asked questions about the coercivity of Nd-Fe-B permanent magnets,2021,Science and Technology of Advanced Materials,10.1080/14686996.2021.1916377,https://doi.org/10.1080/14686996.2021.1916377,https://doi.org/10.1080/14686996.2021.1916377,https://openalex.org/W3166687789,https://www.tandfonline.com/doi/pdf/10.1080/14686996.2021.1916377?needAccess=true,download_failed,PDF HTTP 403: Forbidden
3,Online Parameter Estimation for Permanent Magnet Synchronous Machines: An Overview,2021,IEEE Access,10.1109/access.2021.3072959,https://doi.org/10.1109/access.2021.3072959,https://doi.org/10.1109/access.2021.3072959,https://openalex.org/W3155051187,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09402773.pdf,download_failed,PDF HTTP 502: Bad Gateway
12,Additive manufacturing of heavy rare earth free high-coercivity permanent magnets,2020,Acta Materialia,10.1016/j.actamat.2020.02.058,https://doi.org/10.1016/j.actamat.2020.02.058,https://doi.org/10.1016/j.actamat.2020.02.058,https://openalex.org/W3007421091,https://www.sciencedirect.com/science/article/pii/S1359645420301713?via%3Dihub,download_failed,PDF HTTP 403: Forbidden
20,Free piston linear generator for low grid power generation,2017,MATEC Web of Conferences,10.1051/matecconf/201713102007,https://doi.org/10.1051/matecconf/201713102007,https://doi.org/10.1051/matecconf/201713102007,https://doi.org/10.1051/matecconf/201713102007,https://doi.org/10.1051/matecconf/201713102007,download_failed,PDF HTTP 500: Internal Server Error
21,Phase-Inductance-Based Position Estimation Method for Interior Permanent Magnet Synchronous Motors,2017,Energies,10.3390/en10122002,https://doi.org/10.3390/en10122002,https://www.mdpi.com/1996-1073/10/12/2002,https://www.mdpi.com/1996-1073/10/12/2002,https://www.mdpi.com/1996-1073/10/12/2002,download_failed,PDF HTTP 403: Forbidden
25,Performance comparison between Surface Mounted and Interior PM motor drives for Electric Vehicle application,2012,IEEE,10.1109/tie.2011.2151825,https://doi.org/10.1109/tie.2011.2151825,https://core.ac.uk/download/pdf/11420571.pdf,https://iris.polito.it/retrieve/handle/11583/2418740/54359/ALL_10-2209-TIE.pdf,https://core.ac.uk/download/pdf/11420571.pdf,download_failed,PDF HTTP 403: Forbidden
57,Magnetic suspension options for spacecraft inertia-wheel applications,1984,,,,https://core.ac.uk/download/pdf/10379390.pdf,http://hdl.handle.net/2060/19850005562,https://core.ac.uk/download/pdf/10379390.pdf,download_failed,PDF HTTP 404: Not Found
24,Low temperature latching solenoid,1981,,,,https://core.ac.uk/download/pdf/10356935.pdf,http://hdl.handle.net/2060/19820003484,https://core.ac.uk/download/pdf/10356935.pdf,download_failed,PDF HTTP 404: Not Found
45,On the primordial condensation and accretion environment and the remanent magnetization of meteorites,,,,,https://core.ac.uk/download/pdf/10309621.pdf,http://hdl.handle.net/2060/19740011356,https://core.ac.uk/download/pdf/10309621.pdf,download_failed,PDF HTTP 404: Not Found
