id,paper_id,provider,model,decision,confidence,reason,matched_domain_terms_json,exclude_reason,raw_response_json,reviewed_at
1,16,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
2,2,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
3,3,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
4,4,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
5,6,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
6,7,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
7,8,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
8,9,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
9,10,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
10,5,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
11,11,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
12,14,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
13,15,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
14,18,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
15,19,openai_compatible,not_configured,skipped_no_api_key,,OPENAI_API_KEY or OPENAI_MODEL is not set; skipped LLM relevance review.,[],,"{""skipped"": true, ""reason"": ""missing_openai_env""}",2026-06-04T07:53:06+00:00
