id,title,year,venue,doi,doi_url,publisher_url,source_url,pdf_url,access_status,download_error
27,A Bimodal Approach to Broadband Vibration Energy Harvesting Using Hybrid Piezoelectric-Electromagnetic Transduction.,2026,Micromachines (Basel),10.3390/mi17050553,https://doi.org/10.3390/mi17050553,10.3390/mi17050553,42195470,,oa_no_pdf_url,
58,Effects of applied magnetic fields on the performance of magnetoplasmadynamic thrusters.,2026,Sci Rep,10.1038/s41598-026-38380-3,https://doi.org/10.1038/s41598-026-38380-3,10.1038/s41598-026-38380-3,41651918,,oa_no_pdf_url,
34,Micromagnetic Investigation on Microstructure Modulation and Magnetic Properties of Nd-Fe-B Permanent Magnets.,2026,Nanomaterials (Basel),10.3390/nano16080460,https://doi.org/10.3390/nano16080460,10.3390/nano16080460,42042712,,oa_no_pdf_url,
35,The Possibility of New Complex Magnet Materials.,2026,Adv Mater,10.1002/adma.202518751,https://doi.org/10.1002/adma.202518751,10.1002/adma.202518751,41882979,,oa_no_pdf_url,
29,Exploring the effect of exchange coupling in (SrFe9.8Al2La0.2O19)1-x/(Co0.7Zn0.3Fe2O4)x nanocomposites synthesised by sol–gel auto combustion method,2024,Results in Physics,10.1016/j.rinp.2024.107976,https://doi.org/10.1016/j.rinp.2024.107976,http://www.sciencedirect.com/science/article/pii/S2211379724006612,http://www.sciencedirect.com/science/article/pii/S2211379724006612,,oa_no_pdf_url,
22,Reducing Torque Ripple Through Innovative Configuration of Permanent Magnet Based on Air Gap Field Modulation Theory in a Novel Axial Flux Reversal Permanent Magnet Machine,2024,IEEE Access,10.1109/access.2024.3389699,https://doi.org/10.1109/access.2024.3389699,https://ieeexplore.ieee.org/document/10500839/,https://ieeexplore.ieee.org/document/10500839/,,oa_no_pdf_url,
2,A Review of Axial Flux Permanent Magnet Machine Technology,2023,IEEE Transactions on Industry Applications,10.1109/tia.2023.3258933,https://doi.org/10.1109/tia.2023.3258933,https://doi.org/10.1109/tia.2023.3258933,https://openalex.org/W4328007168,https://www.osti.gov/servlets/purl/1962293,downloaded_oa_pdf,
36,Computationally-efficient optimization of the remanence angles of permanent magnet circuits for magnetic refrigeration,2023,Journal of Magnetism and Magnetic Materials,10.1016/j.jmmm.2023.170429,https://doi.org/10.1016/j.jmmm.2023.170429,https://doi.org/10.1016/j.jmmm.2023.170429,https://openalex.org/W4317801960,,oa_no_pdf_url,
55,Effects of Mo doping on the phase transformation behaviors and the magnetic properties of rare-earth-free MnBi alloy,2023,Journal of Materials Research and Technology,10.1016/j.jmrt.2023.11.197,https://doi.org/10.1016/j.jmrt.2023.11.197,http://www.sciencedirect.com/science/article/pii/S2238785423029708,http://www.sciencedirect.com/science/article/pii/S2238785423029708,,oa_no_pdf_url,
30,Effects of tensile loading during annealing of alnico melt spun ribbons,2022,AIP Advances,10.1063/9.0000356,https://doi.org/10.1063/9.0000356,http://dx.doi.org/10.1063/9.0000356,http://dx.doi.org/10.1063/9.0000356,,oa_no_pdf_url,
